fr_orig,dms_orig,dms_dest,fr_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,tons_2017,tons_2020,tons_2022,tons_2023,tons_2025,tons_2030,tons_2035,tons_2040,tons_2045,tons_2050,value_2017,value_2020,value_2022,value_2023,value_2025,value_2030,value_2035,value_2040,value_2045,value_2050,tons_2020_low,tons_2022_low,tons_2023_low,tons_2025_low,tons_2030_low,tons_2035_low,tons_2040_low,tons_2045_low,tons_2050_low,tons_2020_high,tons_2022_high,tons_2023_high,tons_2025_high,tons_2030_high,tons_2035_high,tons_2040_high,tons_2045_high,tons_2050_high,value_2020_low,value_2022_low,value_2023_low,value_2025_low,value_2030_low,value_2035_low,value_2040_low,value_2045_low,value_2050_low,value_2020_high,value_2022_high,value_2023_high,value_2025_high,value_2030_high,value_2035_high,value_2040_high,value_2045_high,value_2050_high
,280,319,,,1,,1,1,0.322396,0.352192,0.373568,0.384737,0.456813,0.530499,0.565054,0.619361,0.677242,0.724319,1.866855,2.03939,2.163168,2.227846,2.645204,3.071889,3.271981,3.586449,3.921616,4.194218,0.352192,0.369832,0.38089,0.452245,0.525194,0.526057,0.565229,0.605543,0.634313,0.352192,0.379347,0.393058,0.46634,0.583549,0.576355,0.631748,0.690787,0.738806,2.03939,2.141536,2.205567,2.618752,3.04117,3.046167,3.272992,3.506436,3.673029,2.03939,2.196633,2.276031,2.70037,3.379078,3.33742,3.658178,4.000048,4.278103
,280,409,,,1,,1,1,5.051295,5.518136,5.85305,6.028055,6.143822,6.899371,7.120951,7.575754,8.407513,9.051892,16.05747,17.541503,18.606156,19.162475,19.530485,21.932287,22.636664,24.082427,26.726491,28.774898,5.518136,5.79452,5.967774,6.082384,6.830378,6.896666,7.179046,7.797568,8.211584,5.518136,5.938989,6.148681,6.269583,7.589308,7.26337,7.727269,8.575663,9.23293,17.541503,18.420095,18.97085,19.33518,21.712964,21.923688,22.821341,24.787547,26.103658,17.541503,18.879345,19.545932,19.930264,24.125516,23.089397,24.564076,27.261021,29.350396
,280,452,,,1,,1,1,3.890089,4.249611,4.507535,4.642309,5.039189,6.014896,7.280014,8.270777,9.351398,10.311644,6.27501,6.854947,7.270997,7.488398,8.128596,9.702486,11.743218,13.341393,15.084518,16.633467,4.249611,4.489463,4.595886,4.988797,5.954747,7.207214,8.188069,9.251595,10.064075,4.249611,4.597005,4.778967,5.167164,6.616385,8.182969,9.394789,10.640797,11.671392,6.854947,7.241846,7.413514,8.04731,9.605461,11.625785,13.207979,14.923528,16.234121,6.854947,7.41532,7.708837,8.33503,10.672734,13.199753,15.154511,17.164417,18.826845
,280,471,,,1,,1,1,6.634265,7.247405,7.687274,7.917121,9.877302,11.580838,12.823232,14.61514,16.946049,19.103651,11.497084,12.559646,13.321933,13.720255,17.11722,20.069422,22.222472,25.327823,29.367253,33.106347,7.247405,7.655831,7.83795,9.778529,11.46503,12.41223,13.890557,15.878301,17.633633,7.247405,7.889126,8.224549,10.19441,12.738922,13.079696,14.907442,17.284969,19.485723,12.559646,13.267443,13.583053,16.946047,19.868728,21.510213,24.072131,27.516862,30.558827,12.559646,13.671739,14.253023,17.666762,22.076365,22.666922,25.834379,29.954599,33.768473
,280,479,,,1,,1,1,45.890682,50.131905,53.17458,54.764484,63.686508,75.050903,86.824249,97.328308,109.69244,120.62022,70.41095,76.918338,81.586773,84.026194,97.715425,115.152034,133.216103,149.332681,168.303199,185.0699,50.131905,52.783282,54.216839,63.049644,74.300392,82.852333,89.878809,99.046243,106.575254,50.131905,55.059844,57.777309,66.234828,82.555992,88.56073,99.274872,111.886284,123.032616,76.918338,80.986398,83.185932,96.738271,114.000513,127.121915,137.902773,151.968542,163.520446,76.918338,84.47937,88.648828,101.625361,126.667237,135.880425,152.319335,171.669263,188.771298
,280,484,,,1,,1,1,2.022568,2.209494,2.343596,2.413668,2.484992,2.800914,2.898442,3.091638,3.410783,3.666886,4.974951,5.434736,5.764589,5.936948,6.112383,6.889464,7.129354,7.604563,8.38957,9.019513,2.209494,2.326366,2.398106,2.460142,2.772905,2.869457,3.082964,3.367486,3.577286,2.209494,2.40175,2.513034,2.57045,3.081005,2.95641,3.15347,3.478998,3.740224,5.434736,5.722209,5.89867,6.051259,6.820569,7.058061,7.583228,8.283071,8.799121,5.434736,5.907632,6.18136,6.322588,7.57841,7.271942,7.756654,8.557361,9.199903
,280,489,,,1,,1,1,1.018207,1.099343,1.166066,1.200931,1.298967,1.460656,1.519683,1.63563,1.803817,1.936886,2.007954,2.167958,2.299539,2.368294,2.561627,2.880485,2.996889,3.225543,3.557215,3.819635,1.099343,1.160241,1.188921,1.285978,1.44605,1.504486,1.611613,1.745326,1.839302,1.099343,1.189987,1.237809,1.333201,1.606722,1.550076,1.668343,1.839893,1.975624,2.167958,2.288052,2.344611,2.536011,2.851681,2.96692,3.178179,3.441868,3.627194,2.167958,2.346713,2.44102,2.629138,3.168534,3.056826,3.290054,3.628359,3.896028
,292,50,,,1,,1,1,5.529784,5.614148,5.952701,6.141525,6.641386,8.076366,9.821402,11.943481,14.524076,17.662254,8.401817,8.529998,9.044386,9.331281,10.090758,12.271031,14.922395,18.14663,22.067521,26.835592,5.614148,5.893174,6.08011,6.574972,7.995603,9.723187,11.824047,14.378835,17.554344,5.614148,6.041119,6.271513,6.81021,8.884004,10.01783,12.182351,14.814557,18.015499,8.529998,8.953942,9.237968,9.98985,12.148321,14.773171,17.965164,21.846846,26.671636,8.529998,9.178727,9.528782,10.347264,13.498134,15.220843,18.509563,22.508871,27.372304
,292,172,,,1,,1,1,1.475894,1.49805,1.584491,1.647712,1.78182,2.166812,2.634988,3.204322,3.89667,4.738614,2.242436,2.2761,2.407436,2.503492,2.707252,3.292199,4.003534,4.868565,5.920502,7.19973,1.49805,1.576993,1.645271,1.764002,2.145144,2.608638,3.172278,3.854748,4.607778,1.49805,1.613676,1.692801,1.84356,2.383493,2.687688,3.268408,3.974603,4.833386,2.2761,2.396043,2.499784,2.68018,3.259277,3.963498,4.819879,5.856807,7.000941,2.2761,2.451778,2.571999,2.801058,3.621419,4.083604,4.965936,6.038912,7.343724
,292,179,,,1,,1,1,15.81014,16.029619,16.957691,17.634298,19.069563,23.189854,28.200415,34.293591,41.703308,50.714035,24.021536,24.355008,25.765097,26.793118,28.973823,35.234091,42.847014,52.104835,63.362977,77.053653,16.029619,16.89116,17.457956,18.878868,22.957954,27.918411,33.950653,41.334231,49.291616,16.029619,17.247748,18.067598,19.696607,25.508839,28.764421,34.979462,42.537373,51.728313,24.355008,25.664012,26.525186,28.684085,34.88175,42.418544,51.583786,62.80221,74.892464,24.355008,26.205802,27.451462,29.926538,38.7575,43.703954,53.146932,64.630236,78.594726
